"","Sample.1.NI.Sample1","Sample.2.NI.Sample1","Sample.3.d3.pi.Sample1","Sample.4.d3.pi.Sample1","Sample.5.ECM.Sample1","Sample.6.ECM.Sample1","Sample 1
ECM
Sample2","Sample 2
ECM
Sample2","Sample 3
NI
Sample2","Sample 4
NI
Sample2","Sample 5
d3 pi
Sample2","Sample 6
d3 pi
Sample2"
"Q61233, Q99K51",0.0617325382947644,-0.210967944107322,-0.583566793124488,-0.257492812130851,0.329704548292499,0.660590462775396,NA,NA,NA,NA,NA,NA
"Q61247",0.0532120448911551,0.169287652234617,0.172119775737334,0.38884917919639,-0.499281834063901,-0.284186817995594,-0.124348617892528,-0.577543160885325,0.198164950564061,0.149382371943243,0.365640944167456,-0.0112964878969071
"Q61268",0.665949245985466,0.114462005584821,0.0993557416346476,0.269124199984718,-0.639901118949136,-0.508990074240517,-0.548963974580823,0.201149576912911,-0.338558914839552,0.5679627489094,-0.120765731136251,0.239176294734314
"Q61508",0.275222655641604,-0.256217891132446,0.247100921872882,-0.398379181086275,0.0720237788393461,0.0602497158648876,-0.297837373367189,0.00283727963158542,0.386344142556482,0.0848014865907394,-0.246766424558228,0.0706208891466109
"Q61598",-0.204535640195624,-0.0944847179258343,-0.18875425101227,-0.219372555709599,0.355373041287749,0.351774123555578,-0.0594416138948364,1.34342807754437,-0.439699208282572,-0.124416774303759,-0.492364446159443,-0.227506034903759
"Q61599",-0.00309228271805528,0.0355884096373917,-0.03697012655442,-0.0520711397643576,0.00893922048399753,0.0476059189154427,0.0394642516869581,1.64046085995026,-0.736772341114315,-0.113620579843172,-0.429085163708895,-0.40044702697084
"Q61646",0.119049830775756,0.440549234764791,0.21582262490178,-0.467162147142748,0.0653601374710915,-0.37361968077067,-0.347321126716373,-0.410595428667386,2.08220425284222,-0.619081648474256,-0.313375952813173,-0.39183009617103
"Q61702",-0.137829202490634,0.0530333442260873,0.118884980367821,0.251114488157061,-0.340748804294571,0.0555451940342349,-0.0409953777509271,-0.270187446625423,-0.0957455913596554,0.0834638547862445,0.313426770868322,0.0100377900814386
"Q61703",0.0187011616070638,-0.0631417791273243,-0.115164394268004,-0.0695859154875795,-0.0352349889555983,0.264425916231443,-0.158787855428653,0.709917726866113,-0.412598508489323,-0.057949213711523,0.0419321769647185,-0.122514326201334
"Q61704",-0.261876804270907,-0.0637172837923417,-0.0584731053042966,0.0502506346774152,0.0570955491281819,0.276721009561949,0.539604064737185,-0.568909858408149,0.040814046771442,-0.0551635347092865,0.0668839993251593,-0.0232287177163517
"Q61730",0.224117080496678,0.170433907071943,0.227196885182822,0.258285707316861,-0.48285467442996,-0.397178905638344,-0.17617997002385,-0.306958962480768,0.0897881476603062,0.189138494442308,-0.0407904484871553,0.245002738889158
"Q61735",-0.262900935129361,-0.182725305771862,-0.477019688001228,-0.336827815110735,0.543197219342464,0.716276524670722,-0.244724946497757,2.11581453150521,-0.875422348833157,-0.0305711917150706,-1.03648848001658,0.0713924355573488
"Q61739",0.150512129649762,-0.0257994538365183,-0.0468588453267711,-0.0848164491350873,0.0147136823356333,-0.0077510636870195,-0.206302581818929,0.235434219218078,-0.0507583947702432,0.080699100894154,-0.156165003382132,0.0970926598590718
"Q61781, Q9QWL7",0.919889645067771,-0.0300070998517312,-0.189800819177015,-0.313558221147715,-0.221573158733848,-0.164950346157463,-0.224000518829266,0.281480276453583,0.357679836442158,-0.166779107470406,-0.603089707139313,0.354709220543243
"Q61805",0.0419597232399447,-0.540895009056789,-0.39148290442537,-0.23665165560403,0.61032839343925,0.516741452406995,-0.00812425811179063,-0.274938357387102,0.00687520597098645,0.193174212542835,0.432888481557396,-0.349875284572324
"Q61838",-0.152516125144205,0.174661661669223,0.527640589416647,0.336307918786015,-0.480520304178628,-0.405573740549053,0.0877164095406333,-0.71219035982526,0.272825158550217,0.168791702909465,0.211079858132247,-0.0282227693073018
"Q61838, Q6GQT1",-0.212187464076417,0.216056018081559,0.769943458990097,0.49111613798142,-0.697914670054386,-0.567013480922272,0.00783141452414071,-0.495764398822965,0.263312635388044,0.206728993314814,0.0281420743952805,-0.0102507187993157
"Q62159, Q9QUI0",0.0294666329390236,-0.238569048920257,-0.548284671193402,-0.399298464195452,0.516934956453861,0.639750594916225,-0.17060126982886,1.19263058090578,-0.140969392216561,-0.124930944139155,-0.439823463798937,-0.316305510922262
"Q62178",0.125614099164106,-0.135617056452304,-0.296579316581483,-0.326617636187763,0.235832169496859,0.397367740560586,-0.0777353135552818,1.56119554999583,-0.75082749424923,-0.333389212157792,-0.207336459132603,-0.191907070900919
"Q62351",0.765339580953752,0.400264580593345,-0.105926236056042,0.153981928445011,-0.658014492065169,-0.555645361870897,-0.873182477911459,-0.506195975394112,0.726303876298403,0.272526816544376,-0.266921918386531,0.647469678849322
"Q62398",0.639014262877228,-0.679223250241715,-0.255621647032331,-0.334656023608724,-0.00382840813581309,0.634315066141357,NA,NA,NA,NA,NA,NA
"Q62469",0.00217580250435834,-0.0476014910019349,-0.159780748810519,-0.242738074162419,0.137568500758105,0.310376010712409,-0.168189330824997,1.61649714278744,-0.619340281652307,-0.1666026597677,-0.422579146401018,-0.239785724141414
"Q63880",-0.524641683779366,-0.286330492354175,-0.132140565769125,-0.346185514246776,1.41979911430377,-0.130500858154328,-0.0495700201343716,-0.220266155057884,-0.334084794946647,-0.320758942509193,0.902114586495456,0.0225653261526393
"Q63880, Q8VCU1",-0.116118620949677,-0.0802763385031824,-0.0892407078531376,-0.108501277063988,0.805603768177292,-0.411466823807308,-0.172706411103291,-0.116463055641923,-0.173681943235684,0.0889561614118142,0.502130368165633,-0.128235119596547
"Q64324",-0.199830460459146,-0.121501225748054,-0.133713127313299,-0.0542396152102382,0.316262298315094,0.193022130415641,NA,NA,NA,NA,NA,NA
"Q64436, Q6PIC6, Q6PIE5, Q8VDN2, Q9WV27, Q9Z1W8",-0.10842032039921,-0.382749085821409,-0.796789436782991,-1.31132916859248,1.37882015732098,1.22046785427511,-0.0518944202654867,0.485249747111253,0.769471111913246,-0.236234542901586,-0.489614198625698,-0.476977697231728
"Q64518, Q8R429",-0.381361388032542,0.424033816793203,0.398864958748811,0.0475213464773665,-0.449144504274813,-0.0399142297120241,NA,NA,NA,NA,NA,NA
"Q64697",-0.0459806939718579,-0.10021625997534,-0.282053959715955,-0.24248795598886,0.333697054294529,0.337041815357484,0.0257816768076449,1.38778081401777,-0.449669085133221,-0.259424688512196,-0.192083186098569,-0.512385531081424
"Q64726",-0.00193324532594685,0.0710033051669128,0.0326279672084495,0.177273042263428,-0.171201900584093,-0.107769168728749,0.0150572044978969,-0.421341401425366,0.0669155501489525,0.136984058895719,0.163421291437616,0.0389632964451812
